Freq(MHz),Rs[Ohm],Xs[Ohm],Z[Ohm],,"470Ohm resistor measured with SARK 100, LuboJ. Migo, 5.1.2017",,,,,,,,,,,
1.8,384.928348,164.473674,418.5945802,,,,,,,,,,,,,
1.9,389.69621,159.597254,421.110935,,,,,,,,,,,,,
2,378.015866,172.412318,415.4780408,,,,,,,,,,,,,
2.1,380.127585,167.505523,415.3974977,,,,,,,,,,,,,
2.2,380.681294,166.81815,415.6278898,,,,,,,,,,,,,
2.3,382.026696,164.297642,415.8582831,,,,,,,,,,,,,
2.4,382.931513,164.304308,416.6922717,,,,,,,,,,,,,
2.5,381.818091,164.490908,415.7430858,,,,,,,,,,,,,
2.6,385.176695,161.452558,417.6458007,,,,,,,,,,,,,
2.7,381.97722,166.221672,416.5768127,,,,,,,,,,,,,
2.8,384.051466,161.073058,416.461353,,,,,,,,,,,,,
2.9,385.154939,161.204958,417.5300774,,,,,,,,,,,,,
3,381.904228,165.810325,416.3458937,,,,,,,,,,,,,
3.1,387.124031,161.078368,419.2985285,,,,,,,,,,,,,
3.2,382.987826,164.740463,416.9161726,,,,,,,,,,,,,
3.3,384.515196,165.157024,418.4839047,,,,,,,,,,,,,
3.4,384.339498,163.792565,417.7856557,,,,,,,,,,,,,
3.5,386.062511,161.201874,418.366235,,,,,,,,,,,,,
3.6,387.172221,161.9468,419.6773698,,,,,,,,,,,,,
3.7,390.434485,156.326686,420.5676162,,,,,,,,,,,,,
3.8,387.178806,159.867908,418.8856357,,,,,,,,,,,,,
3.9,383.897158,163.964566,417.4462921,,,,,,,,,,,,,
4,387.104939,157.80274,418.033418,,,,,,,,,,,,,
4.1,388.531983,158.118432,419.4741236,,,,,,,,,,,,,
4.2,386.888191,159.492551,418.4738297,,,,,,,,,,,,,
4.3,384.332439,161.119123,416.7382817,,,,,,,,,,,,,
4.4,383.154054,162.648228,416.2468921,,,,,,,,,,,,,
4.5,381.656607,163.141892,415.0626972,,,,,,,,,,,,,
4.6,381.216417,163.817156,414.9241102,,,,,,,,,,,,,
4.7,384.133321,160.923705,416.4791077,,,,,,,,,,,,,
4.8,380.662233,163.29679,414.2095813,,,,,,,,,,,,,
4.9,379.714095,164.621738,413.8636376,,,,,,,,,,,,,
5,382.998289,167.081159,417.856199,,,,,,,,,,,,,
5.1,380.553022,170.549972,417.0226559,,,,,,,,,,,,,
5.2,382.355273,166.760944,417.1387865,,,,,,,,,,,,,
5.3,379.694265,170.153922,416.0770266,,,,,,,,,,,,,
5.4,379.053722,169.883306,415.3818265,,,,,,,,,,,,,
5.5,378.729974,170.603835,415.3818264,,,,,,,,,,,,,
5.6,376.922177,174.009404,415.1500936,,,,,,,,,,,,,
5.7,374.82519,176.285838,414.2108397,,,,,,,,,,,,,
5.8,374.601494,176.218204,413.9796308,,,,,,,,,,,,,
5.9,374.919583,176.084998,414.2108403,,,,,,,,,,,,,
6,378.240034,170.562958,414.9183606,,,,,,,,,,,,,
6.1,374.273424,175.2607,413.2758266,,,,,,,,,,,,,
6.2,377.838429,171.730985,415.0342271,,,,,,,,,,,,,
